-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,0,5,10,15,20,25,30,35,40,45,50,55,60,65,60,55,50,45,40,35,30,25,20,15,10,5,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,0,10,15,20,25,30,35,40,45,50,55,60,65,70,75,70,65,60,55,50,45,40,35,30,25,20,15,10,0,-,-,-,-,-,-,-
-,-,-,-,-,-,0,10,20,25,30,35,40,45,50,55,60,65,70,75,80,85,80,75,70,65,60,55,50,45,40,35,30,25,20,10,0,-,-,-,-,-,-
-,-,-,-,-,-,5,15,25,30,40,45,50,55,60,65,70,75,80,85,90,95,90,85,80,75,70,65,60,55,50,45,40,30,25,15,5,-,-,-,-,-,-
-,-,-,-,-,0,10,20,30,40,50,55,60,65,70,75,80,85,90,95,100,105,100,95,90,85,80,75,70,65,60,55,50,40,30,20,10,0,-,-,-,-,-
-,-,-,-,-,5,15,25,35,45,55,60,70,75,80,85,90,95,100,105,110,115,110,105,100,95,90,85,80,75,70,60,55,45,35,25,15,5,-,-,-,-,-
-,-,-,-,0,10,20,30,40,50,60,70,80,85,90,95,100,105,110,115,120,125,120,115,110,105,100,95,90,85,80,70,60,50,40,30,20,10,0,-,-,-,-
-,-,-,-,5,15,25,35,45,55,65,75,85,90,100,105,110,115,120,125,130,135,130,125,120,115,110,105,100,90,85,75,65,55,45,35,25,15,5,-,-,-,-
-,-,-,0,10,20,30,40,50,60,70,80,90,100,110,115,120,125,130,135,140,145,140,135,130,125,120,115,110,100,90,80,70,60,50,40,30,20,10,0,-,-,-
-,-,-,5,15,25,35,45,55,65,75,85,95,105,115,120,130,135,140,145,150,155,150,145,140,135,130,120,115,105,95,85,75,65,55,45,35,25,15,5,-,-,-
-,-,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,145,150,155,160,165,160,155,150,145,140,130,120,110,100,90,80,70,60,50,40,30,20,10,0,-,-
